account_id,name,account_type,bank,opened_days_ago,kyc_level,owner_entity
ACC00001,Zeenat Sidhu,PERSONAL,BANK_A,713,MEDIUM,ENT00002
ACC00002,Zeenat Sidhu,PERSONAL,BANK_A,524,HIGH,ENT00002
ACC00003,Anna Desai,PERSONAL,BANK_A,964,LOW,ENT00001
ACC00004,Anna Desai,PERSONAL,BANK_A,1744,MEDIUM,ENT00001
ACC00005,Bhavana Chatterjee,PERSONAL,BANK_B,118,MEDIUM,ENT00004
ACC00006,Shreya Kapoor,PERSONAL,BANK_B,120,HIGH,ENT00003
ACC00007,Bhavana Chatterjee,PERSONAL,BANK_B,24,LOW,ENT00004
ACC00008,Balaji Chauhan,PERSONAL,BANK_B,50,LOW,ENT00005
ACC00009,Shreya Kapoor,PERSONAL,BANK_B,25,MEDIUM,ENT00003
ACC00010,Agarwal Logistics,BUSINESS,BANK_A,66,MEDIUM,ENT00007
ACC00011,Padma Malik,PERSONAL,BANK_B,37,MEDIUM,ENT00006
ACC00012,Anna Agarwal,PERSONAL,BANK_A,57,LOW,ENT00007
ACC00013,Saxena Pharma,BUSINESS,BANK_B,73,MEDIUM,ENT00008
ACC00014,Padma Malik,PERSONAL,BANK_A,117,HIGH,ENT00006
ACC00015,Jyoti Saxena,PERSONAL,BANK_B,113,MEDIUM,ENT00008
ACC00016,Priya Dhillon,PERSONAL,BANK_B,334,MEDIUM,ENT00010
ACC00017,Lakshmi Chauhan,PERSONAL,BANK_B,1122,MEDIUM,ENT00009
ACC00018,Anil Kapoor,PERSONAL,BANK_B,126,LOW,ENT00011
ACC00019,Priya Dhillon,PERSONAL,BANK_B,933,MEDIUM,ENT00010
ACC00020,Lakshmi Chauhan,PERSONAL,BANK_B,1918,LOW,ENT00009
ACC00021,Lakshmi Kaur,PERSONAL,BANK_B,1584,MEDIUM,ENT00012
ACC00022,Anil Kapoor,PERSONAL,BANK_B,411,MEDIUM,ENT00011
ACC00023,Lakshmi Kaur,PERSONAL,BANK_B,148,MEDIUM,ENT00012
ACC00024,Neha Brar,PERSONAL,BANK_A,54,LOW,ENT00013
ACC00025,Anna Malik,PERSONAL,BANK_B,17,MEDIUM,ENT00014
ACC00026,Gaurav Ahmed,PERSONAL,BANK_A,39,MEDIUM,ENT00019
ACC00027,Srinivas Gupta,PERSONAL,BANK_A,46,MEDIUM,ENT00018
ACC00028,Naveen Thomas,PERSONAL,BANK_A,60,MEDIUM,ENT00017
ACC00029,Srinivas Gupta,PERSONAL,BANK_B,16,MEDIUM,ENT00018
ACC00030,Manoj Pillai & Sons,PERSONAL,BANK_A,39,HIGH,ENT00015
ACC00031,Manoj Pillai & Sons,PERSONAL,BANK_A,22,LOW,ENT00015
ACC00032,Zubair Ahmed,PERSONAL,BANK_A,59,MEDIUM,ENT00016
ACC00033,Naveen Thomas,PERSONAL,BANK_B,8,LOW,ENT00017
ACC00034,Anna Malik,PERSONAL,BANK_A,8,MEDIUM,ENT00014
ACC00035,Neha Brar,PERSONAL,BANK_B,17,MEDIUM,ENT00013
ACC00036,Zubair Ahmed,PERSONAL,BANK_A,22,MEDIUM,ENT00016
ACC00037,Ahmed Retail,BUSINESS,BANK_B,34,MEDIUM,ENT00019
ACC00038,Meena Bose,PERSONAL,BANK_A,73,MEDIUM,ENT00021
ACC00039,Harpreet Iyengar,PERSONAL,BANK_A,45,MEDIUM,ENT00027
ACC00040,Harpreet Naidu,PERSONAL,BANK_A,22,MEDIUM,ENT00023
ACC00041,Arun Gill,PERSONAL,BANK_B,41,HIGH,ENT00028
ACC00042,Balaji Malhotra,PERSONAL,BANK_A,20,MEDIUM,ENT00020
ACC00043,Lakshmi Reddy,PERSONAL,BANK_B,14,MEDIUM,ENT00022
ACC00044,Meena Bose,PERSONAL,BANK_A,27,MEDIUM,ENT00021
ACC00045,Anna Iyer,PERSONAL,BANK_A,21,MEDIUM,ENT00030
ACC00046,Naveen Agarwal,PERSONAL,BANK_B,34,MEDIUM,ENT00024
ACC00047,Anna Iyer,PERSONAL,BANK_A,58,MEDIUM,ENT00030
ACC00048,Karthik Mukherjee,PERSONAL,BANK_A,11,LOW,ENT00026
ACC00049,Naveen Agarwal,PERSONAL,BANK_A,14,MEDIUM,ENT00024
ACC00050,Sandeep Singh,PERSONAL,BANK_A,60,MEDIUM,ENT00029
ACC00051,Rohit Varghese,PERSONAL,BANK_A,59,MEDIUM,ENT00025
ACC00052,Divya Bose,PERSONAL,BANK_B,38,MEDIUM,ENT00031
ACC00053,Lakshmi Reddy,PERSONAL,BANK_B,29,MEDIUM,ENT00022
ACC00054,Rohit Varghese,PERSONAL,BANK_A,28,MEDIUM,ENT00025
ACC00055,Sandeep Singh,PERSONAL,BANK_B,54,HIGH,ENT00029
ACC00056,Harpreet Iyengar,PERSONAL,BANK_A,9,MEDIUM,ENT00027
ACC00057,Harpreet Naidu,PERSONAL,BANK_B,27,MEDIUM,ENT00023
ACC00058,Anil Bhatt,PERSONAL,BANK_B,24,HIGH,ENT00033
ACC00059,Divya Bose,PERSONAL,BANK_B,29,LOW,ENT00031
ACC00060,Arun Gill,PERSONAL,BANK_A,53,MEDIUM,ENT00028
ACC00061,Balaji Malhotra,PERSONAL,BANK_A,6,MEDIUM,ENT00020
ACC00062,Karthik Mukherjee,PERSONAL,BANK_A,44,HIGH,ENT00026
ACC00063,Naveen Nair,PERSONAL,BANK_B,28,MEDIUM,ENT00032
ACC00064,Nair Overseas,BUSINESS,BANK_B,50,MEDIUM,ENT00032
ACC00065,Kalpana Ghosh,PERSONAL,BANK_A,16,MEDIUM,ENT00037
ACC00066,Harpreet Agarwal,PERSONAL,BANK_B,15,MEDIUM,ENT00036
ACC00067,Prakash Patel,PERSONAL,BANK_B,51,MEDIUM,ENT00043
ACC00068,Sunil Mukherjee,PERSONAL,BANK_A,23,MEDIUM,ENT00035
ACC00069,Neha Desai,PERSONAL,BANK_B,55,MEDIUM,ENT00045
ACC00070,Nithya Shah,PERSONAL,BANK_B,58,MEDIUM,ENT00049
ACC00071,Sneha Ahmed,PERSONAL,BANK_B,56,MEDIUM,ENT00040
ACC00072,Zubair Naidu,PERSONAL,BANK_A,8,MEDIUM,ENT00052
