record_id,source_system,name_as_written,phone,pan,address,linked_account,true_entity_id
REC000001,RETAIL_CBS,Zeenat Sdhu,6044029244,,"740, Nagar, Lucknow, Uttar Pradesh - 343192",ACC00001,ENT00002
REC000002,CORPORATE_BANKING,ZEENAT SIDHU,,GYGEW1733R,"740, Nagar, Lucknow, Uttar Pradesh - 343192",ACC00001,ENT00002
REC000003,CORPORATE_BANKING,Sidhu Zeenat,6044029244,,,ACC00002,ENT00002
REC000004,CORPORATE_BANKING,Anna Desai,7705029423,,"34, Extension, Chennai, Tamil Nadu - 246661",ACC00003,ENT00001
REC000005,WATCHLIST,Desai Anna,,FNZVH4843G,"34, Extension, Chennai, Tamil Nadu - 246661",ACC00003,ENT00001
REC000006,RETAIL_CBS,Anna Deasi,7705029423,,,ACC00004,ENT00001
REC000007,RETAIL_CBS,BHAVANA CHATTERJEE,8897183010,OOPVT4425F,"101, Colony, Bengaluru, Karnataka - 204747",ACC00005,ENT00004
REC000008,CORPORATE_BANKING,B. Chatterjee,,OOPVT4425F,"101, Colony, Bengaluru, Karnataka - 204747",ACC00005,ENT00004
REC000009,CORPORATE_BANKING,Shreya Kpoor,,,"837, Extension, Thiruvananthapuram, Kerala - 342872",ACC00006,ENT00003
REC000010,WATCHLIST,Kapoor Shreya,6485873570,,"837, Extension, Thiruvananthapuram, Kerala - 342872",ACC00006,ENT00003
REC000011,CORPORATE_BANKING,B. Chatterjee,,OOPVT4425F,,ACC00007,ENT00004
REC000012,CORPORATE_BANKING,Balaji Chauan,8777419658,,"15, Avenue, Mumbai, Maharashtra - 647071",ACC00008,ENT00005
REC000013,RETAIL_CBS,Shreya Kapor,6485873570,MAUNN9122Z,,ACC00009,ENT00003
REC000014,RETAIL_CBS,Anna Aagrwal,,XNEHN7759R,"983, Extension, Hyderabad, Telangana - 139815",ACC00010,ENT00007
REC000015,CORPORATE_BANKING,Anna Agarwal,8575691714,XNEHN7759R,"983, Extension, Hyderabad, Telangana - 139815",ACC00010,ENT00007
REC000016,RETAIL_CBS,Padma Malik,7025905338,WHSBC4977X,"41, Colony, Chandigarh, Punjab - 566624",ACC00011,ENT00006
REC000017,CORPORATE_BANKING,Padma Mailk,7025905338,,"41, Colony, Chandigarh, Punjab - 566624",ACC00011,ENT00006
