entity_key,canonical_name,phone,pan,address,num_records,num_accounts,account_ids,record_ids,has_unverified_link,is_watchlisted,rules_used
PERSON00001,ZEENAT SIDHU,6044029244,GYGEW1733R,"740, Nagar, Lucknow, Uttar Pradesh - 343192",2,1,ACC00001,REC000001;REC000002,False,False,R0_same_account;R3_address_and_name_sim
PERSON00002,Sidhu Zeenat,6044029244,,,1,1,ACC00002,REC000003,False,False,
PERSON00003,Anna Deasi,7705029423,FNZVH4843G,"34, Extension, Chennai, Tamil Nadu - 246661",3,2,ACC00003;ACC00004,REC000004;REC000005;REC000006,False,True,R0_same_account;R2_phone_and_name_sim
PERSON00004,B. Chatterjee,8897183010,OOPVT4425F,"101, Colony, Bengaluru, Karnataka - 204747",3,2,ACC00005;ACC00007,REC000007;REC000008;REC000011,False,False,R0_same_account;R1_same_pan
PERSON00005,Kapoor Shreya,6485873570,,"837, Extension, Thiruvananthapuram, Kerala - 342872",2,1,ACC00006,REC000009;REC000010,False,True,R0_same_account
PERSON00006,Balaji Chauan,8777419658,,"15, Avenue, Mumbai, Maharashtra - 647071",1,1,ACC00008,REC000012,False,False,
PERSON00007,Shreya Kapor,6485873570,MAUNN9122Z,,1,1,ACC00009,REC000013,False,False,
PERSON00008,Jyoti Saxena & Sons,7662644268,BLQLC0990W,"590, Avenue, Ahmedabad, Gujarat - 399628",3,2,ACC00010;ACC00013,REC000014;REC000015;REC000020,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00009,ANNA AGARWAL,8575691714,XNEHN7759R,"983, Extension, Hyderabad, Telangana - 139815",4,2,ACC00011;ACC00012,REC000016;REC000017;REC000018;REC000019,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim
PERSON00010,P. Malik,7025905338,WHSBC4977X,"41, Colony, Chandigarh, Punjab - 566624",4,2,ACC00014;ACC00015,REC000021;REC000022;REC000023;REC000024,False,True,R0_same_account;R1_same_pan;R3_address_and_name_sim;R5_initials;R8_soundex
PERSON00011,ANIL KAPOOR,9663668027,AKFIS8498C,"271, Cross Street, Madurai, Tamil Nadu - 110995",2,2,ACC00016;ACC00019,REC000025;REC000029,False,False,R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00012,Lakshmi Karu,7462955086,VDYPC1228G,"314, Extension, Hyderabad, Telangana - 350041",2,2,ACC00017;ACC00022,REC000026;REC000034,False,False,R1_same_pan
PERSON00013,Priya Dhillon & Sons,8036184602,HACQC6800E,"513, Main Road, Madurai, Tamil Nadu - 267742",4,2,ACC00018;ACC00021,REC000027;REC000028;REC000032;REC000033,False,False,R0_same_account;R1_same_pan;R3_address_and_name_sim
PERSON00014,Chauhan Lakshmi,6794286152,TCEVY7434T,"949, Cross Street, Pune, Maharashtra - 550323",3,2,ACC00020;ACC00023,REC000030;REC000031;REC000035,False,True,R0_same_account;R1_same_pan
PERSON00015,Anna Malik & Sons,8653751361,TWZEO9887I,"921, Main Road, Bengaluru, Karnataka - 233667",3,2,ACC00024;ACC00028,REC000036;REC000037;REC000043,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00016,Thomas Naveen,7274365026,,"50, Layout, Hyderabad, Telangana - 360152",1,1,ACC00025,REC000038,False,False,
PERSON00017,Manoj Pillai & Sons & Sons,7003902848,RISSI8252L,"929, Colony, Madurai, Tamil Nadu - 244194",2,1,ACC00026,REC000039;REC000040,False,False,R0_same_account;R2_phone_and_name_sim
PERSON00018,Zubair Ahmde,6719748773,,"822, Avenue, Jaipur, Rajasthan - 194972",2,1,ACC00027,REC000041;REC000042,False,False,R0_same_account
PERSON00019,SRINIVAS GUPTA,6854733540,XJMSS6479J,"331, Extension, Hyderabad, Telangana - 547484",3,2,ACC00029;ACC00030,REC000044;REC000045;REC000046,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00020,Ahmed Gaurav,6667083313,TIFKL8318C,"971, Cross Street, Ahmedabad, Gujarat - 344027",3,2,ACC00031;ACC00035,REC000047;REC000048;REC000053,False,False,R0_same_account;R1_same_pan
PERSON00021,Naveen Thoas,7274365026,FXINW7503A,,1,1,ACC00032,REC000049,False,False,
PERSON00022,Ahmed Zubair,6719748773,QFXPM4290W,,2,1,ACC00033,REC000050;REC000051,False,False,R0_same_account;R1_same_pan
PERSON00023,Manoj Pillai &S ons,7003902848,,,1,1,ACC00034,REC000052,False,False,
PERSON00024,N. Brar,7083379250,CNXHF7842E,"216, Main Road, Patna, Bihar - 180987",5,2,ACC00036;ACC00037,REC000054;REC000055;REC000056;REC000057;REC000058,False,True,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address;R5_initials;R8_soundex
PERSON00025,Agarwal Naveen,7441837871,LBEYH1318Z,"424, Colony, Kochi, Kerala - 592622",3,2,ACC00038;ACC00047,REC000059;REC000060;REC000073,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim
PERSON00026,Arun Gill & Sons,6007141898,VPZQM7496A,"661, Cross Street, Nagpur, Maharashtra - 358523",3,2,ACC00039;ACC00060,REC000061;REC000095;REC000096,False,False,R0_same_account;R1_same_pan
PERSON00027,Harpreet Naidu & Sons,,HKLNO2165S,"85, Layout, Coimbatore, Tamil Nadu - 652139",3,2,ACC00040;ACC00053,REC000062;REC000063;REC000082,False,False,R0_same_account;R1_same_pan;R3_address_and_name_sim
PERSON00028,NAVEEN NAIR,6557010082,TATAC7133W,"614, Colony, Chennai, Tamil Nadu - 102250",4,2,ACC00041;ACC00045,REC000064;REC000065;REC000070;REC000071,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00029,Divya Bose & Sons,7172599423,,"15, Extension, Chandigarh, Punjab - 311496",3,2,ACC00042;ACC00059,REC000066;REC000067;REC000094,False,False,R0_same_account;R2_phone_and_name_sim;R3_address_and_name_sim;R4_phone_and_address
PERSON00030,SANDEEP SINGH,6826582722,JEPQL3928S,"611, Avenue, Mumbai, Maharashtra - 255867",3,2,ACC00043;ACC00064,REC000068;REC000100;REC000101,False,False,R0_same_account;R1_same_pan
PERSON00031,Karthik Mukherjee & Sons,6301551157,JOMRT6029N,"59, Extension, Surat, Gujarat - 246640",3,2,ACC00044;ACC00057,REC000069;REC000090;REC000091,False,False,R0_same_account;R1_same_pan;R2_phone_and_name_sim
PERSON00032,M. Bose,7219121087,,"181, Cross Street, Jaipur, Rajasthan - 129371",1,1,ACC00046,REC000072,False,False,
